Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
2,NEW YORK HARBOR SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Otro,Scope,Complete,61083,77115.0,24.87,137.0,201.0,64.0,76275.0
2,MANHATTAN VILLAGE ACADEMY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,14970,1437.0,-90.4,181.0,76.0,-105.0,1437.0
2,SATELLITE ACADEMY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,21510,26777.0,24.49,181.0,131.0,-50.0,26777.0
3,P.S. 9 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,73499,83034.0,12.97,154.0,83.0,-71.0,83034.0
3,P.S. 9 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,354838,361717.0,-3.39,159.0,138.0,-21.0,342794.0
3,P.S. 334 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,192000,171540.0,-15.49,182.0,94.0,-88.0,162266.0
3,I.S. 54 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,100920,89740.0,-11.08,159.0,59.0,-100.0,89740.0
3,I.S. 54 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,403680,412526.0,-1.87,154.0,152.0,-2.0,396123.0
3,I.S. 54 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,142980,138134.0,-3.82,182.0,129.0,-53.0,137523.0
3,I.S. 54 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,714900,264171.0,-63.68,237.0,175.0,-62.0,259655.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,14136,28081.0,98.65,182.0,106.0,-76.0,28081.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,63611,129418.0,88.26,175.0,43.0,-132.0,119755.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,136647,236064.0,48.43,139.0,148.0,9.0,202825.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,672871,560119.0,-16.76,153.0,123.0,-30.0,560119.0
3,P.S. 75 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,21600,10624.0,-50.81,182.0,98.0,-84.0,10624.0
3,P.S. 76 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,142110,146477.0,-15.23,144.0,103.0,-41.0,120467.0
3,P.S. 76 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,710551,397823.0,-44.01,153.0,100.0,-53.0,397823.0
3,P.S. 76 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,22410,7474.0,-66.65,176.0,56.0,-120.0,7474.0
3,P.S. 84 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,Complete,51674,66374.0,25.62,141.0,203.0,62.0,64914.0
3,P.S. 87 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,387378,225299.0,-41.84,260.0,164.0,-96.0,225299.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,157660,186014.0,17.98,91.0,126.0,35.0,186014.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,788300,698937.0,-43.17,187.0,516.0,329.0,448002.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Scope,Complete,29051,60363.0,107.22,137.0,202.0,65.0,60199.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Design,Complete,145255,112205.0,-58.85,159.0,164.0,5.0,59766.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,70724,90211.0,25.78,138.0,133.0,-5.0,88954.0
3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,353618,236120.0,-65.75,156.0,166.0,10.0,121115.0
3,P.S. 241 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,68681,65581.0,-4.51,138.0,160.0,22.0,65581.0
3,P.S. 241 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,335836,270171.0,-25.75,157.0,167.0,10.0,249355.0
3,P.S. 333 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,119790,54816.0,-54.24,180.0,95.0,-85.0,54816.0
3,P.S. 333 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,10874,15970.0,46.86,121.0,106.0,-15.0,15970.0
3,P.S. 333 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,48933,51695.0,-17.0,154.0,151.0,-3.0,40612.0
3,P.S. 242 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,49435,50347.0,1.84,140.0,111.0,-29.0,50347.0
3,WEST PREP ACADEMY - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,111046,121472.0,9.39,139.0,158.0,19.0,121472.0
3,WEST PREP ACADEMY - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,555232,381748.0,-96.98,153.0,65.0,-88.0,16757.0
3,M811 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,104451,129366.0,23.85,182.0,105.0,-77.0,129360.0
3,M811 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,522249,311801.0,-40.3,229.0,161.0,-68.0,311801.0
3,P.S. 163 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,203462,182193.0,-15.81,182.0,115.0,-67.0,171298.0
